timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1529584740275,301,208 /api/user/asset-data/,200,OK,Thread Group 1-25,text,true,,2490,468,25,25,301,0,0
1529584740277,336,208 /api/user/asset-data/,200,OK,Thread Group 1-24,text,true,,2490,468,25,25,336,0,0
1529584740218,563,208 /api/user/asset-data/,200,OK,Thread Group 1-23,text,true,,2490,468,25,25,563,0,268
1529584739636,1564,208 /api/user/asset-data/,200,OK,Thread Group 1-9,text,true,,2490,468,25,25,843,0,0
1529584739740,1653,208 /api/user/asset-data/,200,OK,Thread Group 1-13,text,true,,2490,468,25,25,859,0,0
1529584740692,737,216 /api/user/asset/,201,Created,Thread Group 1-1,text,true,,2986,1839,25,25,737,0,315
1529584740850,660,216 /api/user/asset/,201,Created,Thread Group 1-4,text,true,,2986,1839,25,25,660,0,267
1529584740864,720,216 /api/user/asset/,201,Created,Thread Group 1-3,text,true,,2986,1839,25,25,720,0,279
1529584740841,760,216 /api/user/asset/,201,Created,Thread Group 1-6,text,true,,2986,1839,25,25,760,0,313
1529584740935,693,216 /api/user/asset/,201,Created,Thread Group 1-2,text,true,,2986,1839,25,25,693,0,273
1529584740957,727,216 /api/user/asset/,201,Created,Thread Group 1-18,text,true,,2986,1839,25,25,727,0,260
1529584740906,840,216 /api/user/asset/,201,Created,Thread Group 1-7,text,true,,2986,1839,25,25,840,0,317
1529584740989,758,216 /api/user/asset/,201,Created,Thread Group 1-10,text,true,,2986,1839,25,25,758,0,265
1529584741048,760,216 /api/user/asset/,201,Created,Thread Group 1-11,text,true,,2986,1839,25,25,760,0,263
1529584741085,769,216 /api/user/asset/,201,Created,Thread Group 1-16,text,true,,2986,1839,25,25,769,0,265
1529584741049,806,216 /api/user/asset/,201,Created,Thread Group 1-12,text,true,,2986,1839,25,25,806,0,292
1529584741072,924,216 /api/user/asset/,201,Created,Thread Group 1-8,text,true,,2986,1839,25,25,924,0,275
1529584741440,559,216 /api/user/asset/,201,Created,Thread Group 1-15,text,true,,2986,1839,25,25,559,0,0
1529584741132,868,216 /api/user/asset/,201,Created,Thread Group 1-14,text,true,,2986,1839,25,25,868,0,283
1529584741205,916,216 /api/user/asset/,201,Created,Thread Group 1-20,text,true,,2987,1839,25,25,916,0,311
1529584741335,787,216 /api/user/asset/,201,Created,Thread Group 1-17,text,true,,2986,1839,25,25,787,0,315
1529584741409,806,216 /api/user/asset/,201,Created,Thread Group 1-22,text,true,,2987,1839,25,25,806,0,308
1529584741782,469,216 /api/user/asset/,201,Created,Thread Group 1-23,text,true,,2987,1839,25,25,469,0,0
1529584741453,801,216 /api/user/asset/,201,Created,Thread Group 1-19,text,true,,2987,1839,25,25,801,0,301
1529584741577,735,216 /api/user/asset/,201,Created,Thread Group 1-25,text,true,,2987,1839,25,25,735,0,282
1529584742010,310,217 /api/match/match_asset/?asset_id=13,200,OK,Thread Group 1-4,text,true,,502,434,25,25,310,0,0
1529584741930,405,217 /api/match/match_asset/?asset_id=13,200,OK,Thread Group 1-1,text,true,,502,434,25,25,405,0,0
1529584741572,789,216 /api/user/asset/,201,Created,Thread Group 1-21,text,true,,2987,1839,25,25,789,0,306
1529584741613,752,216 /api/user/asset/,201,Created,Thread Group 1-24,text,true,,2987,1839,25,25,752,0,313
1529584742084,282,217 /api/match/match_asset/?asset_id=13,200,OK,Thread Group 1-3,text,true,,502,434,25,25,282,0,0
1529584742129,268,217 /api/match/match_asset/?asset_id=13,200,OK,Thread Group 1-2,text,true,,502,434,25,25,268,0,0
1529584742102,314,217 /api/match/match_asset/?asset_id=13,200,OK,Thread Group 1-6,text,true,,502,434,25,25,314,0,0
1529584742185,263,217 /api/match/match_asset/?asset_id=13,200,OK,Thread Group 1-18,text,true,,502,434,25,25,263,0,0
1529584742247,268,217 /api/match/match_asset/?asset_id=13,200,OK,Thread Group 1-10,text,true,,502,434,25,25,268,0,0
1529584742247,318,217 /api/match/match_asset/?asset_id=13,200,OK,Thread Group 1-7,text,true,,502,434,25,25,318,0,0
1529584742309,266,217 /api/match/match_asset/?asset_id=13,200,OK,Thread Group 1-11,text,true,,502,434,25,25,266,0,0
1529584740858,1743,216 /api/user/asset/,201,Created,Thread Group 1-5,text,true,,2989,1839,25,25,1743,0,1295
1529584742355,268,217 /api/match/match_asset/?asset_id=13,200,OK,Thread Group 1-16,text,true,,502,434,25,25,268,0,0
1529584742355,288,217 /api/match/match_asset/?asset_id=13,200,OK,Thread Group 1-12,text,true,,502,434,25,25,288,0,0
1529584742497,279,217 /api/match/match_asset/?asset_id=13,200,OK,Thread Group 1-8,text,true,,502,434,25,25,279,0,0
1529584742501,286,217 /api/match/match_asset/?asset_id=13,200,OK,Thread Group 1-14,text,true,,502,434,25,25,286,0,0
1529584742201,691,216 /api/user/asset/,201,Created,Thread Group 1-9,text,true,,2989,1839,25,25,691,0,298
1529584742622,303,217 /api/match/match_asset/?asset_id=13,200,OK,Thread Group 1-20,text,true,,502,434,25,25,303,0,0
1529584742622,303,217 /api/match/match_asset/?asset_id=13,200,OK,Thread Group 1-17,text,true,,502,434,25,25,303,0,0
1529584742715,311,217 /api/match/match_asset/?asset_id=13,200,OK,Thread Group 1-22,text,true,,502,434,25,25,311,0,0
1529584742394,638,216 /api/user/asset/,201,Created,Thread Group 1-13,text,true,,2989,1839,25,25,638,0,270
1529584742755,300,217 /api/match/match_asset/?asset_id=13,200,OK,Thread Group 1-19,text,true,,502,434,25,25,300,0,0
1529584742813,284,217 /api/match/match_asset/?asset_id=13,200,OK,Thread Group 1-25,text,true,,502,434,25,25,284,0,0
1529584742500,601,217 /api/match/match_asset/?asset_id=13,200,OK,Thread Group 1-15,text,true,,502,434,25,25,601,0,299
1529584742820,306,219 /api/user/status/,200,OK,Thread Group 1-4,text,true,,1077,476,25,25,306,0,0
1529584742862,293,217 /api/match/match_asset/?asset_id=13,200,OK,Thread Group 1-21,text,true,,502,434,25,25,293,0,0
1529584742866,312,217 /api/match/match_asset/?asset_id=13,200,OK,Thread Group 1-24,text,true,,502,434,25,25,312,0,0
1529584742897,317,219 /api/user/status/,200,OK,Thread Group 1-2,text,true,,1077,476,25,25,317,0,0
1529584742948,303,219 /api/user/status/,200,OK,Thread Group 1-18,text,true,,1078,476,25,25,303,0,0
1529584742753,639,217 /api/match/match_asset/?asset_id=13,200,OK,Thread Group 1-23,text,true,,502,434,25,25,639,0,320
1529584742835,588,219 /api/user/status/,200,OK,Thread Group 1-1,text,true,,1077,476,25,25,588,0,268
1529584742866,617,219 /api/user/status/,200,OK,Thread Group 1-3,text,true,,1077,476,25,25,617,0,283
1529584742916,643,219 /api/user/status/,200,OK,Thread Group 1-6,text,true,,1077,476,25,25,643,0,294
1529584743016,677,219 /api/user/status/,200,OK,Thread Group 1-10,text,true,,1078,476,25,25,677,0,293
1529584743076,623,219 /api/user/status/,200,OK,Thread Group 1-11,text,true,,1078,476,25,25,623,0,279
1529584743123,596,219 /api/user/status/,200,OK,Thread Group 1-16,text,true,,1078,476,25,25,596,0,261
1529584743392,329,217 /api/match/match_asset/?asset_id=13,200,OK,Thread Group 1-9,text,true,,502,435,25,25,329,0,0
1529584743065,685,219 /api/user/status/,200,OK,Thread Group 1-7,text,true,,1077,476,25,25,685,0,304
1529584743101,652,217 /api/match/match_asset/?asset_id=13,200,OK,Thread Group 1-5,text,true,,502,435,25,25,652,0,312
1529584743144,658,219 /api/user/status/,200,OK,Thread Group 1-12,text,true,,1078,476,25,25,658,0,266
1529584743532,273,217 /api/match/match_asset/?asset_id=13,200,OK,Thread Group 1-13,text,true,,502,435,25,25,273,0,0
1529584743287,586,219 /api/user/status/,200,OK,Thread Group 1-14,text,true,,1078,476,25,25,586,0,271
1529584743276,648,219 /api/user/status/,200,OK,Thread Group 1-8,text,true,,1078,476,25,25,648,0,291
1529584743601,343,219 /api/user/status/,200,OK,Thread Group 1-15,text,true,,1078,476,25,25,343,0,0
1529584743426,586,219 /api/user/status/,200,OK,Thread Group 1-20,text,true,,1078,476,25,25,586,0,271
1529584743426,679,219 /api/user/status/,200,OK,Thread Group 1-17,text,true,,1078,476,25,25,679,0,313
1529584743527,578,219 /api/user/status/,200,OK,Thread Group 1-22,text,true,,1078,476,25,25,578,0,268
1529584743555,642,219 /api/user/status/,200,OK,Thread Group 1-19,text,true,,1078,476,25,25,642,0,297
1529584743626,574,218 /api/user/total-matches/,200,OK,Thread Group 1-4,text,true,,269,483,25,25,574,0,267
1529584743923,308,218 /api/user/total-matches/,200,OK,Thread Group 1-1,text,true,,269,483,25,25,308,0,0
1529584743656,576,219 /api/user/status/,200,OK,Thread Group 1-21,text,true,,1078,476,25,25,576,0,261
1529584743892,358,219 /api/user/status/,200,OK,Thread Group 1-23,text,true,,1078,476,25,25,358,0,0
1529584743678,590,219 /api/user/status/,200,OK,Thread Group 1-24,text,true,,1078,476,25,25,590,0,262
1529584743714,579,218 /api/user/total-matches/,200,OK,Thread Group 1-2,text,true,,269,483,25,25,579,0,273
1529584743597,716,219 /api/user/status/,200,OK,Thread Group 1-25,text,true,,1078,476,25,25,716,0,323
1529584743984,335,218 /api/user/total-matches/,200,OK,Thread Group 1-3,text,true,,269,483,25,25,335,0,0
1529584743752,640,218 /api/user/total-matches/,200,OK,Thread Group 1-18,text,true,,269,483,25,25,640,0,294
1529584744059,334,218 /api/user/total-matches/,200,OK,Thread Group 1-6,text,true,,269,483,25,25,334,0,0
1529584744199,315,218 /api/user/total-matches/,200,OK,Thread Group 1-11,text,true,,269,483,25,25,315,0,0
1529584744220,295,218 /api/user/total-matches/,200,OK,Thread Group 1-16,text,true,,269,483,25,25,295,0,0
1529584744194,332,218 /api/user/total-matches/,200,OK,Thread Group 1-10,text,true,,269,483,25,25,332,0,0
1529584744251,348,218 /api/user/total-matches/,200,OK,Thread Group 1-7,text,true,,269,483,25,25,348,0,0
1529584744303,307,218 /api/user/total-matches/,200,OK,Thread Group 1-12,text,true,,269,483,25,25,306,0,0
1529584744254,365,219 /api/user/status/,200,OK,Thread Group 1-5,text,true,,1077,476,25,25,365,0,0
1529584744305,315,219 /api/user/status/,200,OK,Thread Group 1-13,text,true,,1078,476,25,25,315,0,0
1529584744374,299,218 /api/user/total-matches/,200,OK,Thread Group 1-14,text,true,,269,483,25,25,299,0,0
1529584744424,327,218 /api/user/total-matches/,200,OK,Thread Group 1-8,text,true,,269,483,25,25,327,0,0
1529584744444,326,218 /api/user/total-matches/,200,OK,Thread Group 1-15,text,true,,269,483,25,25,326,0,0
1529584744512,305,218 /api/user/total-matches/,200,OK,Thread Group 1-20,text,true,,269,483,25,25,305,0,0
1529584744221,613,219 /api/user/status/,200,OK,Thread Group 1-9,text,true,,1078,476,25,25,613,0,284
1529584744606,312,218 /api/user/total-matches/,200,OK,Thread Group 1-22,text,true,,269,483,25,25,312,0,0
